label, video_id, count
medium, 7-oMB0k0sSM_317_327.mp4, 3
medium, 7-xF0MathuM_1_11.mp4, 2
good, 7bbexORFcbU_8_18.mp4, 1.5
medium, 07eq1ZyNg_U_18_28.mp4, 10.5
medium, 7iugnpaQI38_8_18.mp4, 5
medium, 7KyaP2kanxI_0_10.mp4, 2
good, 7SLhk7mgozA_150_160.mp4, 10
medium, 7wDqltRbJlM_25_35.mp4, 4.5
good, 8CphZdSZRuY_10_20.mp4, 5
medium, 8H4Owlk0qOs_24_34.mp4, 3
medium, 8H6PoVJHiBk_75_85.mp4, 4
medium, 8i5iZdDLK2k_4_14.mp4, 2
medium, 8k_yFyO0gw8_0_10.mp4, 6.5
medium, 8pOFA5MeO1Y_14_24.mp4, 11
good, 8QHMbWwigxw_0_10.mp4, 3
medium, 9BVDtOrkywI_79_89.mp4, 4
medium, 9CO1Qz3vbQI_0_10.mp4, 6
good, 9D0XkGNKVMw_14_24.mp4, 2
medium, 9qLtqTCf-nI_6_16.mp4, 5
medium, 14GlmxFfj0s_39_49.mp4, 3
good, 16lUu2tZooc_22_32.mp4, 3
good, 19lxJWDYgI8_8_18.mp4, 2
medium, 20NbyTPAm54_83_93.mp4, 6
good, 52W2CuJhDZs_0_10.mp4, 3
medium, 59lgrB3Fguc_0_10.mp4, 3.5
medium, 63aP2dZHP9o_130_140.mp4, 1
good, 66LQNxaNbd8_0_10.mp4, 3
medium, 99oTaq3Frdk_0_10.mp4, 5.5
medium, 122r0oQm_gg_14_24.mp4, 3
medium, 493Ma3Uo-rg_0_10.mp4, 2
medium, 633UYC0HnsI_18_28.mp4, 3
medium, a1StEBBq5k4_4_14.mp4, 7
medium, A7PlyD4IUeA_21_31.mp4, 2
medium, A8SWnqv9u5c_45_55.mp4, 5
medium, a105_GJe6io_3_13.mp4, 6
medium, aAgpx_Kzk7E_1_11.mp4, 4
medium, abgmV0xuCrk_0_10.mp4, 5
medium, aEkXO_5rPjI_10_20.mp4, 3
medium, AFF5uioXScE_3_13.mp4, 2
medium, AG89mHY2_Ww_37_47.mp4, 2
good, ahVgLgJEwS8_2_12.mp4, 3
medium, aIu8LKTVq9I_14_24.mp4, 1.5
medium, Ao7exaIcpaY_451_461.mp4, 3
medium, aOX-mQhksLg_27_37.mp4, 5
medium, aQwnHLo6BR0_49_59.mp4, 4
medium, AzcJ2cfMchQ_30_40.mp4, 2.5
medium, AzcJ2cfMchQ_36_46.mp4, 3.5
medium, bA8C6pJjHMc_3_13.mp4, 4
medium, BbuD7f75Ytk_4_14.mp4, 3
medium, BffXJOy8NDc_50_60.mp4, 2
medium, bpreIIDbeHA_174_184.mp4, 2
good, brt-4ty7Jyo_0_10.mp4, 4
medium, bx4oG5Towdg_241_251.mp4, 3
good, bxNPX5dyZro_9_19.mp4, 3
good, c-hWu2FpKZE_0_10.mp4, 2
medium, C7eF-MQdX1E_97_107.mp4, 4
good, C45Bm3ZpuLA_1_11.mp4, 5
medium, CAH4cRCvuqA_29_39.mp4, 3
medium, citJmR0YiC4_12_22.mp4, 7
medium, CmHZWzo5wSk_24_34.mp4, 2
medium, CnJ34LAjYjw_1_11.mp4, 5
medium, Ct864RaeMiw_65_75.mp4, 1
medium, cW0lK3b7zhA_177_187.mp4, 2
medium, cZb7Z0t0q6E_0_10.mp4, 2
medium, d2GoRYlUq3Q_14_24.mp4, 14
medium, d3wAbcqv07c_76_86.mp4, 2
medium, d8b9uhan7Iw_0_10.mp4, 5
good, d8N_VaIxLQM_102_112.mp4, 6
medium, DA6N2ebQ8WA_13_23.mp4, 2
good, Dc30U3MAzWU_0_10.mp4, 3
good, DcB97BukTf0_20_30.mp4, 7
medium, DdXdcUETX1w_16_26.mp4, 2
good, dGbdojhlBAw_0_10.mp4, 10
good, dgy8Pa30hnk_16_26.mp4, 4
good, dh7h-JxMpvE_14_24.mp4, 3
good, dKrwUsC7cZw_49_59.mp4, 1
medium, DphAywxqzZg_345_355.mp4, 1
good, DSlmPd3L_i8_24_34.mp4, 3.5
medium, DUZytjxw5Ho_25_35.mp4, 8.5
good, e4HcBugmx-Q_8_18.mp4, 2
good, e6x3OqtXt90_16_26.mp4, 5
medium, eCJQXspc-wc_7_17.mp4, 2
good, ecNPrSc9alc_37_47.mp4, 13
medium, eCVbKZ0U3C8_0_10.mp4, 4
good, EdyNtkH2C24_0_10.mp4, 4
good, eeu8neb0ySY_13_23.mp4, 2
good, EGiiiVb2Dkw_0_10.mp4, 1.5
good, EiwOvQm_Xp4_56_66.mp4, 3
good, EJhB3-XRdeo_126_136.mp4, 3
good, EpTeVtoil5M_14_24.mp4, 2
good, ePufqKBEmUI_6_16.mp4, 2.5
good, ErGscxt3t_Q_61_71.mp4, 7.5
good, EyobFLJAnGI_0_10.mp4, 3
good, EYYMoKcM2gg_11_21.mp4, 4
good, f2AfRV7qCnE_6_16.mp4, 4.5
good, f7VIvtIoAVQ_17_27.mp4, 10
good, F8RYNgIN_sE_31_41.mp4, 3
medium, FeDaSuSHKAI_29_39.mp4, 7
medium, FeMbpdN-s7o_36_46.mp4, 3
medium, fgmgnZZI3Dc_3_13.mp4, 2
good, FIY9yDhVSRk_2_12.mp4, 6
medium, fJP6gMdTpKA_1_11.mp4, 5.5
medium, fk-tqgLL4cg_1_11.mp4, 6
good, FnYAtsYJTBE_10_20.mp4, 4.5
good, fy6Gs9udtzo_91_101.mp4, 2
good, fZ495Xjbtw8_19_29.mp4, 6.5
good, G0hZD0DGeTA_2_12.mp4, 3
good, G0ktoCu5SrY_19_29.mp4, 3.5
good, GD1aUf-hEZE_0_10.mp4, 3
good, GHvCLvOGOHs_42_52.mp4, 4
medium, gRfLPb04zgE_38_48.mp4, 1
good, gunrbtpgbdg_2_12.mp4, 4
medium, GWQGZVQD7B8_3_13.mp4, 1
good, GXIivMvKS34_0_10.mp4, 3.5
good, H_fTQGPuQN4_5_15.mp4, 4
good, H02cB4nt3mk_3_13.mp4, 4.5
medium, h5a9VmGIiyg_0_10.mp4, 1
medium, h7e6sp9tS6I_212_222.mp4, 4
medium, h9m7Jsw5vrw_46_56.mp4, 2.5
medium, hAewFLKQIFw_26_36.mp4, 2
medium, hAgbDqpZxco_0_10.mp4, 5
medium, HC0Zfmb0BaA_18_28.mp4, 1.5
good, hDKzbLiN7H0_0_10.mp4, 5
medium, hE65D6qZAnA_30_40.mp4, 2
good, HeDKIDxk1oA_7_17.mp4, 3
medium, heNyItd8seA_16_26.mp4, 3
medium, Her-N-H0XuA_0_10.mp4, 3
medium, hmmHo5cNFLI_10_20.mp4, 3
medium, HNLI2ZvzEWM_41_51.mp4, 3
medium, hQyEgnYwNxg_35_45.mp4, 2
medium, HRSq5obReKM_19_29.mp4, 0.5
medium, hRYUL45dn_E_7_17.mp4, 3
medium, hV54y8BVEtY_41_51.mp4, 2
medium, I-jJ9s5E2xc_13_23.mp4, 3
medium, I5G1QTNDz0g_0_10.mp4, 3
medium, I5x_x9JJM-I_2_12.mp4, 1.5
medium, I5XqdyALN2A_0_10.mp4, 2
medium, IcvUt_OzhZE_19_29.mp4, 5
medium, Id6sSnT2Ug4_42_52.mp4, 2.5
medium, iddpK2alMlk_25_35.mp4, 1.5
medium, IfegrA6-d6I_21_31.mp4, 2
medium, IftIfrU5Xxk_23_33.mp4, 3
medium, IGa1LkBsHr0_0_10.mp4, 3
medium, iL0ciQyeupo_20_30.mp4, 6
medium, imikv4cDp0Y_1_11.mp4, 3
medium, IMuD2wN4lY0_6_16.mp4, 3.5
medium, IRrKUEZ_zFA_31_41.mp4, 3
medium, IzAJOfpd67s_275_285.mp4, 10.5
medium, J1pEqEB10lA_11_21.mp4, 6
medium, j6K-OdS6nYM_118_128.mp4, 3.5
medium, J7JCSqOlgIY_2_12.mp4, 3
medium, jaFmhTBDyB0_2_12.mp4, 2
medium, JarpK29XZBo_6_16.mp4, 5
medium, JDUg1jsXunE_2_12.mp4, 6.5
medium, jGbDC5Bvkqw_10_20.mp4, 2.5
medium, jKekHUoL-_c_25_35.mp4, 11
medium, jmZprmUfl10_91_101.mp4, 12
medium, JtkK96CqdKc_19_29.mp4, 2.5
medium, JTPkh1IhcVw_0_10.mp4, 3.5
medium, k6L9rOpJ2Vg_0_10.mp4, 4
medium, k8Wu6kW3WZA_10_20.mp4, 4
medium, KA90xA6zgrU_0_10.mp4, 4
medium, Kd7eUjnFozQ_63_73.mp4, 6.5
medium, kdGbzGC7ges_12_22.mp4, 1
medium, kG7YKyngVLU_10_20.mp4, 4.5
medium, KgVV9ckag34_46_56.mp4, 6
good, KhPZydhpd0I_3_13.mp4, 3.5
good, KhQz0KW3JSY_42_52.mp4, 5
good, ktlUya-qgIU_13_23.mp4, 14
good, kxv73he4kDU_31_41.mp4, 10
good, kzENwfp17Co_180_190.mp4, 3
medium, L5ziUZUi_bc_10_20.mp4, 13.5
good, Lc5aGZHRNss_19_29.mp4, 3
good, lfzFLLVloXI_36_46.mp4, 3
good, LGQnX-yR45c_24_34.mp4, 4.5
good, LHBPVOH-HP0_17_27.mp4, 3.5
good, lHeiPcvtEpg_136_146.mp4, 5
good, LWIxVuu-4qo_16_26.mp4, 5
good, lzt0XVSv9yc_6_16.mp4, 5
good, m2It8oXLsE0_3_13.mp4, 1.5
good, M2ryf1p9Lgs_1_11.mp4, 5
good, M6xzGKXrRps_9_19.mp4, 5.5
good, M065ZpAKuyY_30_40.mp4, 4.5
good, m408i9NFQIY_2_12.mp4, 3
good, mbka9fCaS1U_0_10.mp4, 5.5
good, mcQDxd1EnY8_57_67.mp4, 2
good, MeNdlkaokF0_31_41.mp4, 2.5
good, MHAesSctQ4E_0_10.mp4, 1
good, MHC5N-n2Xl8_2336_2346.mp4, 5
good, mT2hRJkBJxY_137_147.mp4, 3.5
good, mT2hRJkBJxY_435_445.mp4, 3
good, mVZNem6PXK0_0_10.mp4, 3
good, N1RPjOL7Sf8_0_10.mp4, 1
good, N2RALFl13eI_1_11.mp4, 4
medium, n4M5qV8mJx8_154_164.mp4, 1.5
good, n37sKBWY7Os_1_11.mp4, 5
good, NaH7YeSE0A4_17_27.mp4, 6
good, NB5FFhNojNg_0_10.mp4, 5.5
medium, NBeXKI6BOFE_25_35.mp4, 3
good, NdO9CtNi5O4_18_28.mp4, 3.5
good, NdO9CtNi5O4_113_123.mp4, 6
good, ndZoLg7ylL0_0_10.mp4, 5
good, neEsBVxcvWk_48_58.mp4, 9
medium, nGDDCCY4iQk_37_47.mp4, 1
medium, nH_pC33pEsU_29_39.mp4, 4
medium, nHal5q656nM_13_23.mp4, 3
medium, niMBAL_ff5A_0_10.mp4, 2.5
good, nKkFKg5h4pY_17_27.mp4, 3
good, nlnTUB8Re4k_175_185.mp4, 3
good, nlnTUB8Re4k_231_241.mp4, 2.5
good, NM8_O3IbAlw_2_12.mp4, 4
good, NMYGQqZm3fo_1_11.mp4, 3.5
good, nnma_g4XhaA_10_20.mp4, 4
good, nownoHeS1o0_48_58.mp4, 4
good, nPF9lXbxm5Q_13_23.mp4, 7.5
good, Nq-fxX6yNJ4_10_20.mp4, 3.5
good, NyZAVj6-HVc_52_62.mp4, 6
good, O2mhcgdbMHI_17_27.mp4, 4
good, o3HgCuc6u3Y_8_18.mp4, 2
good, O4hfJi9B_OA_0_10.mp4, 3
good, O22ejFcKfo8_0_10.mp4, 5
good, OaXW4R2pnSo_20_30.mp4, 2
good, OCprW1PXzLc_41_51.mp4, 4.5
good, ofyQ8BqKxEw_123_133.mp4, 3.5
good, OG_q7BFjKQU_191_201.mp4, 2.5
good, oK4rAQaR1Yg_128_138.mp4, 1
good, orPv4L77rZQ_64_74.mp4, 1
good, ou0lbAljEQs_2_12.mp4, 6.5
good, oV2eYcHtm1I_4_14.mp4, 7
good, OWaQW8lVJH0_19_29.mp4, 4
good, Oyc8JBpwBBc_4_14.mp4,3
good, P2cp_wPNAG4_0_10.mp4, 5
good, P2STuhcPhO0_13_23.mp4, 3
good, P5rp2d06wfY_7_17.mp4, 8
good, p5tDrvIumoU_160_170.mp4, 9
good, pcskTSg4mVc_0_10.mp4, 7
good, pdO9ODoVNgU_0_10.mp4, 8
good, pevbpXl0RLs_0_10.mp4, 3.5
good, pgBnhDuDmIc_106_116.mp4, 3
good, pgYR9m-3QyQ_23_33.mp4, 5
medium, PlDM6P7ohnw_0_10.mp4, 2.5
good, PrKg-_DSJMI_18_28.mp4, 5.5
good, Prl18RbsXxo_76_86.mp4, 6
good, ps0HdzNgNpE_4_14.mp4, 12
good, PumHFURScqE_20_30.mp4, 2.5
good, Py0A9wWkWao_198_208.mp4, 5
good, pyOQE8jKIP4_23_33.mp4, 4
good, PypiXtjgnbs_0_10.mp4, 2.5
good, q-ZyxEQ3fls_260_270.mp4, 1
good, q38xkDR67Xc_20_30.mp4, 6.5
good, qAbk5bDCLRw_77_87.mp4, 6
good, qdXjaIibjNE_54_64.mp4, 4.5
good, qOm4q8ic_gA_42_52.mp4, 11
good, qopddvcWCOU_186_196.mp4, 4
good, QT4eZgEPZ78_2_12.mp4, 5.5
good, QtAqd4lxv88_0_10.mp4, 5
good, QvWdA0KJ6sw_9_19.mp4, 5
good, r-d8IlN2W2Q_18_28.mp4, 
good, R-g8EaDpgIk_25_35.mp4, 2.5
medium, r3FLys-qIYw_0_10.mp4, 2
medium, rIpbywLZjYk_0_10.mp4, 3
good, RRjz65DkgKU_21_31.mp4, 3
medium, rXQ0A51a6iQ_9_19.mp4, 3.5
medium, RYQhI6j2TuM_40_50.mp4, 3
good, s-HmfE-SEH8_91_101.mp4, 12
good, s0XWAiQO5c8_0_10.mp4, 5.5
good, San9c8vZ1ug_31_41.mp4, 3
good, sBfW0tj9fqg_0_10.mp4,3
good, sDbqmRT7om0_5_15.mp4, 3
good, sEGJ88bqEz0_0_10.mp4, 5.5
good, sFdCbDBw8Cw_9_19.mp4, 8.5
medium, SL4g1HaCoMs_29_39.mp4, 4
good, Sl5O4PbcQo0_3_13.mp4, 3
good, Sl5O4PbcQo0_13_23.mp4, 3
medium, sofj9_NIIew_3_13.mp4, 3
good, swmnmy0sAk8_26_36.mp4, 4
medium, SxB0Rk0zrcY_40_50.mp4, 2
good, t-RR8Lfec-8_14_24.mp4, 2
good, ZuDEug35Jnk_9_19.mp4, 4
good, ZMt9AtuKss4_2_12.mp4, 3
medium, zgigSgrb3qU_12_22.mp4, 1.5
medium, YU0gWh72a3k_15_25.mp4, 3
